Date,Treatment,Tank,SSID,Mass,Color,RightingTime,ArmCircumference
4/2/23,1X_KA,1,1A,81.1,Color/Purple,70,68
4/2/23,1X_KA,1,1B,98.6,Others,212,76
4/2/23,1X_KA,1,1C,106.5,Color/Purple,81,79
4/2/23,PBS,2,2A,117,Purple,152,78
4/2/23,PBS,2,2B,113.3,Color/Purple,183,79
4/2/23,PBS,2,2C,98.1,LightBrown/Purple,108,78
4/2/23,1X_KA,3,3A,98.1,Others,75,75
4/2/23,1X_KA,3,3B,101.2,Color/Purple,135,75
4/2/23,1X_KA,3,3C,94.5,Color/Purple,260,73
4/2/23,10X_KA,4,4A,108.5,Color/Purple,110,80
4/2/23,10X_KA,4,4B,109.8,Others,345,82
4/2/23,10X_KA,4,4C,85,Others,190,79
4/2/23,10X_KA,5,5A,66.4,Purple,97,59
4/2/23,10X_KA,5,5B,85.7,Purple,345,71
4/2/23,10X_KA,5,5C,105.1,LightBrown/Purple,146,88
4/2/23,1X_KA,6,6A,101.2,LightBrown/Purple,193,73
4/2/23,1X_KA,6,6B,81.3,Purple,207,67
4/2/23,1X_KA,6,6C,97.2,Purple,178,77
4/2/23,PBS,7,7A,101.2,Others,145,85
4/2/23,PBS,7,7B,107.9,Purple,110,75
4/2/23,PBS,7,7C,79.3,Others,265,76
4/2/23,PBS,8,8A,75.8,Purple,185,64
4/2/23,PBS,8,8B,107.1,LightBrown/Purple,270,85
4/2/23,PBS,8,8C,104.7,Purple,308,87
4/2/23,10X_KA,9,9A,97.8,DarkPurple,125,76
4/2/23,10X_KA,9,9B,83.3,Purple,280,74
4/2/23,10X_KA,9,9C,109.7,Others,435,78
4/2/23,1X_KA,10,10A,109.5,DarkPurple,110,81
4/2/23,1X_KA,10,10B,89.6,Purple,130,76
4/2/23,1X_KA,10,10C,71.6,LightBrown/Purple,206,65
4/2/23,10X_KA,11,11A,85,DarkPurple,160,72
4/2/23,10X_KA,11,11B,84.5,DarkPurple,139,74
4/2/23,10X_KA,11,11C,94.6,LightBrown/Purple,235,90
4/2/23,PBS,12,12A,105.1,LightBrown/Purple,143,79
4/2/23,PBS,12,12B,83.6,LightBrown/Purple,145,75
4/2/23,PBS,12,12C,96.6,Purple,235,79
4/6/23,1X_KA,1,1A,81.1,Color/Purple,292,55
4/6/23,1X_KA,1,1B,98.6,Others,202,70
4/6/23,1X_KA,1,1C,106.5,Color/Purple,136,71
4/6/23,PBS,2,2A,117,Purple,433,76
4/6/23,PBS,2,2B,113.3,Color/Purple,214,83
4/6/23,PBS,2,2C,98.1,LightBrown/Purple,248,73
4/6/23,1X_KA,3,3A,98.1,Others,262,83
4/6/23,1X_KA,3,3B,101.2,Color/Purple,550,76
4/6/23,1X_KA,3,3C,94.5,Color/Purple,352,79
4/6/23,10X_KA,4,4A,108.5,Color/Purple,1800,72
4/6/23,10X_KA,4,4B,109.8,Others,1800,77
4/6/23,10X_KA,4,4C,85,Others,1800,65
4/6/23,10X_KA,5,5A,66.4,Purple,1800,47
4/6/23,10X_KA,5,5B,85.7,Purple,1800,52
4/6/23,10X_KA,5,5C,105.1,LightBrown/Purple,1800,51
4/6/23,1X_KA,6,6A,101.2,LightBrown/Purple,153,73
4/6/23,1X_KA,6,6B,81.3,Purple,1800,57
4/6/23,1X_KA,6,6C,97.2,Purple,1800,64
4/6/23,PBS,7,7A,101.2,Others,449,82
4/6/23,PBS,7,7B,107.9,Purple,87,79
4/6/23,PBS,7,7C,79.3,Others,250,68
4/6/23,PBS,8,8A,75.8,Purple,180,72
4/6/23,PBS,8,8B,107.1,LightBrown/Purple,337,80
4/6/23,PBS,8,8C,104.7,Purple,559,78
4/6/23,10X_KA,9,9A,97.8,DarkPurple,1180,64
4/6/23,10X_KA,9,9B,83.3,Purple,1800,66
4/6/23,10X_KA,9,9C,109.7,Others,1800,66
4/6/23,1X_KA,10,10A,109.5,DarkPurple,212,81
4/6/23,1X_KA,10,10B,89.6,Purple,1800,65
